Pergunta;Resposta
Pergunta,Quais são as informações exigidas na divulgação das políticas contabilísticas para os ativos intangíveis?;Resposta,As informações exigidas incluem os métodos de amortização, reconciliação da quantia escriturada e explicação das situações excecionais em que se justifique a não utilização do prazo máximo de amortização.
Pergunta,O que é um compromisso existente em matéria de pensões?;Resposta,Um compromisso existente em matéria de pensões refere-se a obrigações futuras da entidade para com seus funcionários em relação a benefícios de pensão.
Pergunta,Quais são os tipos de compromissos mencionados no modelo?;Resposta,Os tipos incluem compromissos em matéria de pensões, adiantamentos e créditos concedidos aos membros dos órgãos de administração, direção ou supervisão.
Pergunta,O que é uma reversão de ajustamento de inventários?;Resposta,Uma reversão de ajustamento de inventários ocorre quando um ajustamento anterior é revertido, reduzindo a quantia de inventários reconhecida como gasto do período.
Pergunta,Por que é importante divulgar as políticas contabilísticas adotadas para os instrumentos financeiros?;Resposta,É importante para compreender como os instrumentos financeiros são contabilizados e mensurados nas demonstrações financeiras, fornecendo transparência sobre as práticas contábeis da entidade.
Pergunta,Qual é o objetivo da Demonstração dos Resultados por Funções?;Resposta,O objetivo é apresentar de forma clara as receitas, custos e resultados operacionais da entidade durante um período específico.
Pergunta,Quais são as seções principais da Demonstração dos Resultados por Funções?;Resposta,As seções principais são Vendas e serviços prestados, Resultado bruto, Outros rendimentos, e Resultado operacional.
Pergunta,O que é o Anexo nas demonstrações financeiras?;Resposta,O Anexo é um documento que contém informações adicionais sobre a entidade e suas políticas contabilísticas, exigidas pelas normas contabilísticas.
Pergunta,Quais são as informações normalmente incluídas no Anexo?;Resposta,As informações incluem a identificação da entidade, políticas contabilísticas, alterações nas estimativas contabilísticas, detalhes sobre ativos tangíveis e intangíveis, entre outros.
Pergunta,Qual é o propósito da divulgação das políticas contabilísticas no Anexo?;Resposta,O propósito é fornecer aos utilizadores das demonstrações financeiras uma compreensão clara das bases sobre as quais as informações financeiras foram preparadas.
Pergunta,Por que é importante divulgar as alterações nas políticas contabilísticas?;Resposta,É importante para os utilizadores entenderem como as mudanças nas políticas contabilísticas afetam a posição financeira e o desempenho da entidade.
Pergunta,Quais são os tipos de ativos fixos tangíveis normalmente divulgados no Anexo?;Resposta,Os tipos incluem propriedades, fábricas, máquinas e equipamentos, e detalhes como critérios de mensuração, métodos de depreciação e vidas úteis são divulgados.
Pergunta,O que são ativos intangíveis e como são divulgados no Anexo?;Resposta,Ativos intangíveis são recursos não físicos, como marcas registradas e patentes. São divulgadas informações sobre suas vidas úteis, métodos de amortização e alterações no valor.
Pergunta,Por que os custos de empréstimos obtidos são divulgados no Anexo?;Resposta,Os custos de empréstimos obtidos capitalizados são divulgados para mostrar como os custos de financiamento afetam os ativos da entidade.
Pergunta,Qual é a importância da divulgação dos inventários?;Resposta,A divulgação dos inventários permite aos utilizadores entender a quantidade e o valor dos bens mantidos pela entidade para venda ou produção.
Pergunta,O que são provisões e passivos contingentes?;Resposta,Provisões são passivos contingentes que surgem de eventos passados e cuja existência será confirmada por eventos futuros incertos.
Pergunta,Por que os benefícios dos empregados são divulgados?;Resposta,Os benefícios dos empregados são divulgados para fornecer informações sobre os compromissos da entidade em relação a pensões e outros benefícios dos empregados.
Pergunta,O que são acontecimentos após a data do balanço?;Resposta,São eventos que ocorrem entre a data do balanço e a data em que as demonstrações financeiras são autorizadas para emissão.
Pergunta,Por que os contratos de construção são destacados nas divulgações?;Resposta,Os contratos de construção têm características únicas que podem afetar o reconhecimento de receitas e custos, portanto, são divulgados separadamente.
Pergunta,Qual é a importância da divulgação das operações com partes relacionadas?;Resposta,A divulgação é importante para garantir que os utilizadores das demonstrações financeiras estejam cientes de quaisquer transações que possam não ser realizadas em condições de mercado.
Pergunta,O que são operações com partes relacionadas?;Resposta,São transações entre a entidade e outras partes, como empresas afiliadas, membros da administração ou suas famílias, que podem influenciar as decisões financeiras.
Pergunta,Quais são algumas das informações normalmente divulgadas sobre operações com partes relacionadas?;Resposta,As informações incluem o montante das transações, a natureza do relacionamento com a parte relacionada e outras informações relevantes para avaliar o impacto das transações.
Pergunta,Por que as matérias ambientais são destacadas nas divulgações?;Resposta,As matérias ambientais são destacadas para informar os utilizadores sobre quaisquer responsabilidades ambientais significativas que a entidade possa ter.
Pergunta,O que são ativos biológicos na agricultura?;Resposta,São ativos vivos, como animais e plantações, que são mantidos para fins agrícolas.
Pergunta,Por que as informações sobre ativos biológicos são divulgadas?;Resposta,As informações são divulgadas para fornecer uma compreensão clara dos ativos biológicos e dos produtos agrícolas que contribuem para os resultados da entidade.
Pergunta,O que é o objetivo da Norma Contabilística e de Relato Financeiro 1?;Resposta,O objetivo é prescrever as bases para a estrutura e conteúdo do balanço, da demonstração dos resultados, da demonstração das alterações no capital próprio e do anexo.
Pergunta,Quais são os principais componentes das demonstrações financeiras cobertos pela norma?;Resposta,A norma cobre o balanço, a demonstração dos resultados, a demonstração das alterações no capital próprio e o anexo.
Pergunta,Quais são os critérios para classificar um ativo como corrente?;Resposta,Um ativo é classificado como corrente se espera-se que seja realizado, consumido ou vendido no ciclo operacional normal da entidade, ou se espera-se que seja realizado em até doze meses após a data do balanço.
Pergunta,Quando uma obrigação deve ser classificada como não corrente?;Resposta,Uma obrigação deve ser classificada como não corrente se a entidade espera refinanciar ou substituir a obrigação por pelo menos doze meses após a data do balanço.
Pergunta,O que deve ser divulgado no anexo de acordo com a norma?;Resposta,O anexo deve apresentar informações sobre as bases de preparação das demonstrações financeiras, políticas contabilísticas, passivos contingentes, compromissos contratuais não reconhecidos e outras informações relevantes para uma melhor compreensão das demonstrações financeiras.
Pergunta,Quais são os critérios para classificar um passivo como corrente?;Resposta,Um passivo é classificado como corrente se espera-se que seja liquidado durante o ciclo operacional normal da entidade, se espera-se que seja liquidado em até doze meses após a data do balanço, ou se a entidade não tiver um direito incondicional de diferir a liquidação por pelo menos doze meses após a data do balanço.
Pergunta,Como as alterações no capital próprio são refletidas na demonstração das alterações no capital próprio?;Resposta,As alterações no capital próprio refletem o aumento ou a redução nos ativos líquidos da entidade durante o período, excluindo transações com os detentores de capital próprio, como contribuições de capital, reaquisições de instrumentos de capital próprio e dividendos.
Pergunta,Qual é a diferença entre ajustamentos retrospetivos e reexpressões retrospetivas?;Resposta,Os ajustamentos retrospetivos são feitos para alterações nas políticas contabilísticas e correções de erros e são aplicados retroativamente, até onde for praticável. As reexpressões retrospetivas são feitas para corrigir erros e são aplicadas retroativamente, até onde for praticável, no saldo dos resultados transitados.
Pergunta,O que significa resultado integral na demonstração das alterações no capital próprio?;Resposta,Resultado integral é a agregação direta do resultado líquido do período com todas as variações ocorridas em capitais próprios não diretamente relacionadas com os detentores de capital, agindo enquanto tal.
Pergunta,Quais são as informações que devem ser divulgadas no anexo sobre as políticas contabilísticas?;Resposta,O anexo deve divulgar um resumo das principais políticas contabilísticas, incluindo as bases de mensuração usadas na preparação das demonstrações financeiras e outras políticas contabilísticas relevantes para uma compreensão das demonstrações financeiras.
Pergunta,Como as entidades devem lidar com os ajustamentos retrospetivos e as reexpressões retrospetivas de acordo com a Norma Contabilística e de Relato Financeiro 1?;Resposta,As entidades devem aplicar ajustamentos retrospetivos sempre que possível para alterações nas políticas contabilísticas e correções de erros, até onde for praticável. As reexpressões retrospetivas devem ser feitas para corrigir erros, também até onde for praticável, no saldo dos resultados transitados.
Pergunta,Por que a classificação correta de ativos e passivos é importante na elaboração das demonstrações financeiras?;Resposta,A classificação correta de ativos e passivos proporciona informações precisas sobre a posição financeira da entidade, ajudando os usuários das demonstrações financeiras a entender melhor a liquidez, solvência e desempenho operacional da empresa.
Pergunta,Quais são os critérios específicos para classificar uma obrigação como não corrente de acordo com a Norma Contabilística e de Relato Financeiro 1?;Resposta,Uma obrigação é classificada como não corrente se a entidade espera refinanciar ou substituir a obrigação por pelo menos doze meses após a data do balanço e o refinanciamento ou substituição não depende da entidade.
Pergunta,Quais são os detalhes que devem ser divulgados no anexo sobre os juízos de valor feitos pela administração no processo de aplicação das políticas contabilísticas?;Resposta,Os juízos de valor significativos feitos pela administração devem ser divulgados no anexo, exceto aqueles que envolvem estimativas. Isso inclui juízos de valor relacionados à mensuração de ativos e passivos, reconhecimento de receitas e despesas, entre outros.
Pergunta,Por que é importante divulgar informações sobre as principais fontes de incerteza das estimativas nas demonstrações financeiras?;Resposta,A divulgação das principais fontes de incerteza das estimativas fornece aos usuários das demonstrações financeiras uma compreensão mais clara dos riscos e incertezas que podem afetar as quantias escrituradas de ativos e passivos, permitindo uma avaliação mais precisa da posição financeira da entidade.
Pergunta,Qual é o objetivo da Norma Contabilística e de Relato Financeiro 1?;Resposta,O objetivo desta norma é prescrever as bases quanto à estrutura e conteúdo do balanço, da demonstração dos resultados, da demonstração das alterações no capital próprio e do anexo, proporcionando diretrizes para a preparação e apresentação das demonstrações financeiras.
Pergunta,Quais são os critérios estabelecidos pela Norma Contabilística e de Relato Financeiro 1 para classificar ativos e passivos como correntes ou não correntes?;Resposta,A norma estabelece critérios como expectativa de realização em um período superior a doze meses após a data do balanço para ativos e passivos não correntes, enquanto ativos e passivos correntes são aqueles esperados para serem realizados ou liquidados dentro de doze meses após a data do balanço.
Pergunta,Como a Norma Contabilística e de Relato Financeiro 1 trata a divulgação de informações no balanço?;Resposta,A norma exige que o balanço e o anexo contenham informações sobre a identificação clara da entidade, datas relevantes, moeda de apresentação e nível de arredondamento, além de fornecer subclassificações e divulgações adicionais quando relevantes para uma melhor compreensão das demonstrações financeiras.
Pergunta,Quais são as informações exigidas pela Norma Contabilística e de Relato Financeiro 1 para serem apresentadas no anexo?;Resposta,O anexo deve conter informações sobre as bases de preparação das demonstrações financeiras, políticas contabilísticas, suporte de itens do balanço e da demonstração dos resultados, passivos contingentes, compromissos contratuais não reconhecidos, entre outras divulgações exigidas por diplomas legais.
Pergunta,Qual é a importância da divulgação das políticas contabilísticas de uma entidade de acordo com a Norma Contabilística e de Relato Financeiro 1?;Resposta,A divulgação das políticas contabilísticas é importante porque fornece transparência e compreensão sobre os princípios contábeis utilizados na preparação das demonstrações financeiras, ajudando os usuários a interpretar adequadamente as informações apresentadas.
Pergunta,O que a Norma Contabilística e de Relato Financeiro 10 trata?;Resposta,A NCRF 10 trata dos custos de empréstimos obtidos relacionados à aquisição, construção ou produção de ativos qualificados.
Pergunta,Quais são os custos de empréstimos obtidos incluídos nesta norma?;Resposta,Os custos de empréstimos obtidos incluem gastos com juros, encargos financeiros de locações financeiras e diferenças de câmbio.
Pergunta,Como são tratados os custos de empréstimos diretamente atribuíveis a um ativo qualificado?;Resposta,Os custos diretamente atribuíveis a um ativo qualificado devem ser capitalizados como parte do custo desse ativo.
Pergunta,Quando a capitalização dos custos de empréstimos deve ser suspensa?;Resposta,A capitalização dos custos de empréstimos deve ser suspensa durante períodos de interrupção prolongada das atividades necessárias para preparar o ativo para seu uso pretendido ou venda.
Pergunta,Quando a NCRF 10 entrou em vigor?;Resposta,A eficácia da NCRF 10 iniciou-se no primeiro período que se inicia em ou após 1 de janeiro de 2016.
Pergunta,Quais são os critérios para capitalização dos custos de empréstimos obtidos?;Resposta,Os custos de empréstimos obtidos devem ser capitalizados quando são diretamente atribuíveis à aquisição, construção ou produção de um ativo qualificado, provavelmente resultando em benefícios econômicos futuros e mensuráveis de forma confiável.
Pergunta,Como determinar os custos de empréstimos obtidos elegíveis para capitalização?;Resposta,Os custos de empréstimos obtidos elegíveis para capitalização são aqueles que teriam sido evitados se o dispêndio no ativo qualificado não tivesse ocorrido. Isso pode exigir a identificação de um relacionamento direto entre os empréstimos obtidos e o ativo, o que pode ser desafiador em certas situações.
Pergunta,Qual é o momento de início da capitalização dos custos de empréstimos obtidos?;Resposta,A capitalização dos custos de empréstimos obtidos deve começar quando os dispêndios com o ativo, os custos de empréstimos obtidos e as atividades necessárias para preparar o ativo para seu uso pretendido ou venda estiverem ocorrendo simultaneamente.
Pergunta,Por que a capitalização dos custos de empréstimos obtidos pode ser suspensa?;Resposta,A capitalização pode ser suspensa durante períodos de interrupção prolongada das atividades necessárias para preparar o ativo, como em casos de paralisações na construção ou em outras atividades relevantes.
Pergunta,O que acontece com os custos de empréstimos obtidos após a cessação da capitalização?;Resposta,Após a cessação da capitalização, os custos de empréstimos obtidos não são mais capitalizados como parte do custo do ativo. Em vez disso, eles são reconhecidos como despesas no período em que são incorridos.
Pergunta,Como os custos de empréstimos obtidos são tratados após a cessação da capitalização?;Resposta,Após a cessação da capitalização, os custos de empréstimos obtidos são tratados como despesas e são reconhecidos no período em que são incorridos.
Pergunta,Quais são os critérios para determinar os custos de empréstimos obtidos elegíveis para capitalização?;Resposta,Os custos de empréstimos obtidos elegíveis para capitalização são aqueles que teriam sido evitados se o dispêndio no ativo qualificado não tivesse ocorrido, exigindo a identificação de um relacionamento direto entre os empréstimos obtidos e o ativo.
Pergunta,Como a capitalização dos custos de empréstimos obtidos é afetada por interrupções prolongadas nas atividades de preparação do ativo?;Resposta,A capitalização pode ser suspensa durante períodos de interrupção prolongada nas atividades de preparação do ativo, como paralisações na construção, pois os custos incorridos durante esses períodos não são elegíveis para capitalização.
Pergunta,Quais são os critérios para determinar o momento de início da capitalização dos custos de empréstimos obtidos?;Resposta,A capitalização dos custos de empréstimos obtidos deve começar quando os dispêndios com o ativo, os custos de empréstimos obtidos e as atividades necessárias para preparar o ativo para seu uso pretendido ou venda estiverem ocorrendo simultaneamente.
Pergunta,Quais são as implicações para a divulgação financeira ao aplicar a NCRF 10?;Resposta,Ao aplicar a NCRF 10, as entidades devem fazer divulgações adequadas no anexo das demonstrações financeiras, especialmente se houver mudanças significativas nos critérios de capitalização ou se a cessação da capitalização ocorrer.
Pergunta,O que a NCRF 11 aborda?;Resposta,A NCRF 11 trata das normas contábeis aplicáveis às propriedades de investimento nas demonstrações financeiras das entidades.
Pergunta,Como a NCRF 11 define propriedades de investimento?;Resposta,Propriedades de investimento são definidas como propriedades mantidas para obter rendas, para valorização do capital ou para ambas, em vez de para uso na produção ou fornecimento de bens ou serviços, para fins administrativos ou para venda no decurso ordinário do negócio.
Pergunta,Quando uma propriedade é transferida para propriedade de investimento?;Resposta,Uma propriedade é transferida para propriedade de investimento quando há uma mudança de uso evidenciada pelo início da locação operacional a outra entidade.
Pergunta,Como uma entidade deve contabilizar o ganho ou perda na alienação de uma propriedade de investimento?;Resposta,O ganho ou perda na alienação de uma propriedade de investimento deve ser determinado como a diferença entre os proventos líquidos da alienação e o valor contabilístico da propriedade, sendo reconhecido no resultado do período da alienação.
Pergunta,O que acontece se uma entidade não puder determinar confiavelmente o justo valor de uma propriedade de investimento?;Resposta,Se uma entidade não puder determinar confiavelmente o justo valor de uma propriedade de investimento, ela deve mensurá-la pelo custo, conforme definido na NCRF 7, até a alienação da propriedade.
Pergunta,Quais são os critérios para classificar uma propriedade como propriedade de investimento?;Resposta,Uma propriedade é classificada como propriedade de investimento quando é mantida para obter rendas, para valorização do capital ou para ambas, em vez de para uso na produção ou fornecimento de bens ou serviços, para fins administrativos ou para venda no decurso ordinário do negócio.
Pergunta,Como uma entidade deve mensurar uma propriedade de investimento após o reconhecimento inicial?;Resposta,Após o reconhecimento inicial, uma entidade pode optar por mensurar uma propriedade de investimento pelo justo valor, de acordo com a NCRF 9, ou pelo custo, de acordo com a NCRF 7.
Pergunta,Quais são as circunstâncias em que uma entidade pode reclassificar uma propriedade de investimento?;Resposta,Uma entidade pode reclassificar uma propriedade de investimento quando há uma mudança de uso evidenciada pelo início de ocupação pelo proprietário, início de desenvolvimento com vista à venda, fim de ocupação pelo proprietário ou início de uma locação operacional a outra entidade.
Pergunta,Como uma entidade deve contabilizar a transferência de uma propriedade de investimento para uma propriedade ocupada pelo titular?;Resposta,Quando uma propriedade de investimento é transferida para propriedade ocupada pelo titular, o custo considerado da propriedade para subsequente contabilização de acordo com a NCRF 7 ou a NCRF 18 deve ser o seu justo valor à data da alteração de uso.
Pergunta,Qual é a abordagem para determinar os ganhos ou perdas na alienação de propriedades de investimento?;Resposta,Os ganhos ou perdas na alienação de propriedades de investimento são determinados como a diferença entre os proventos líquidos da alienação e o valor contabilístico da propriedade na data da alienação, sendo reconhecidos no resultado do período da alienação.
Pergunta,Qual é o tratamento contabilístico quando uma entidade reclassifica uma propriedade de investimento como propriedade ocupada pelo titular?;Resposta,Quando uma propriedade de investimento é reclassificada como propriedade ocupada pelo titular, a entidade deve mensurar a propriedade pelo custo e descontinuar o modelo de justo valor. Qualquer diferença entre o valor contabilístico da propriedade de investimento na data da reclassificação e o custo da propriedade ocupada pelo titular deve ser reconhecida nos resultados.
Pergunta,Como uma entidade deve tratar as transferências entre propriedades de investimento, propriedades ocupadas pelo titular e inventários?;Resposta,As transferências entre essas categorias devem ser feitas somente quando houver uma mudança de uso evidenciada por certos eventos, como o início de ocupação pelo proprietário ou o início de uma locação operacional a outra entidade. O custo considerado da propriedade para subsequente contabilização deve ser ajustado para refletir o justo valor na data da transferência.
Pergunta,Quais são os critérios para determinar se o justo valor de uma propriedade de investimento é confiável de forma contínua?;Resposta,Há uma presunção de que uma entidade pode determinar de forma confiável o justo valor de uma propriedade de investimento de forma contínua. No entanto, em casos excepcionais, quando transações de mercado comparáveis são pouco frequentes e estimativas alternativas de justo valor não estão disponíveis de forma confiável, o justo valor da propriedade pode não ser determinável com confiabilidade contínua.
Pergunta,Como uma entidade deve contabilizar as propriedades de investimento em construção que não têm um justo valor determinável de forma confiável?;Resposta,Se uma entidade determinar que o justo valor de uma propriedade de investimento em construção não é confiável de forma contínua, ela deve mensurar essa propriedade pelo custo, de acordo com a NCRF 7. O valor residual da propriedade de investimento deve ser presumido como zero, e a entidade deve continuar a aplicar a NCRF 7 até a alienação da propriedade.
Pergunta,Quais são as implicações contábeis quando uma propriedade de investimento é alienada?;Resposta,Os ganhos ou perdas provenientes da alienação de propriedades de investimento devem ser determinados como a diferença entre os proventos líquidos da alienação e o valor contabilístico da propriedade na data da alienação, e devem ser reconhecidos nos resultados. A retribuição a receber com a alienação é inicialmente reconhecida pelo justo valor, com a diferença entre a retribuição nominal e o equivalente ao preço a dinheiro reconhecido como juros de acordo com a NCRF 20.
Pergunta,Como a NCRF 11 se aplicaria à empresa ABC, que possui um portfólio de edifícios comerciais que são mantidos para obter renda e valorização de capital?;Resposta,A empresa ABC deve contabilizar esses edifícios comerciais como propriedades de investimento de acordo com a NCRF 11. Isso significa que eles devem ser inicialmente mensurados pelo custo e subsequentemente mensurados pelo modelo do custo ou do justo valor, dependendo da política contabilístico da empresa.
Pergunta,Como a NCRF 11 se aplicaria à empresa XYZ, que possui um edifício de escritórios que estava inicialmente destinado à venda, mas agora decidiu mantê-lo para geração de renda?;Resposta,Neste caso, a empresa XYZ deve reclassificar o edifício de escritórios como uma propriedade de investimento de acordo com a NCRF 11. A propriedade deve ser mensurada pelo justo valor na data da reclassificação e posteriormente de acordo com as políticas contábeis da empresa.
Pergunta,Como a NCRF 11 se aplicaria à empresa DEF, que possui um portfólio diversificado de propriedades de investimento em diferentes países?;Resposta,A empresa DEF deve aplicar a NCRF 11 a todas as suas propriedades de investimento, independentemente do país em que estão localizadas. As propriedades devem ser mensuradas e contabilizadas de acordo com os requisitos da norma, levando em consideração as características específicas de cada propriedade.
Pergunta,Como a NCRF 11 se aplicaria à empresa PQR, que adquiriu uma propriedade de investimento em construção e está enfrentando dificuldades para determinar o justo valor de forma confiável?;Resposta,Se a empresa PQR determinar que o justo valor da propriedade em construção não é confiável de forma contínua, ela deve mensurar a propriedade pelo custo, de acordo com a NCRF 7. Isso significa que o custo da propriedade em construção deve ser registrado como seu valor contabilístico até que o justo valor se torne confiável.
Pergunta,Como a NCRF 11 se aplicaria à empresa LMN, que alienou uma de suas propriedades de investimento por um valor superior ao seu custo contabilístico?;Resposta,Neste caso, a empresa LMN deve reconhecer o ganho da alienação como a diferença entre os proventos líquidos da venda e o valor contabilístico da propriedade na data da alienação. Esse ganho deve ser reconhecido nos resultados do período em que ocorre a alienação, de acordo com a NCRF 11.
Pergunta,O que é a quantia escriturada de um ativo?;Resposta,É o valor pelo qual um ativo é reconhecido no balanço, após deduzir a depreciação acumulada e as perdas por imparidade acumuladas.
Pergunta,O que é o justo valor de um ativo?;Resposta,É o preço que seria recebido pela venda de um ativo, ou pago pela transferência de um passivo, numa transação ordenada entre participantes do mercado na data de mensuração.
Pergunta,O que é o valor de uso de um ativo?;Resposta,É o valor presente dos fluxos de caixa futuros estimados que se espera obter de um ativo, ou de uma unidade geradora de caixa, no decurso normal da sua utilização.
Pergunta,Quando é que uma entidade deve testar um ativo para imparidade?;Resposta,Uma entidade deve testar um ativo para imparidade sempre que existam indícios de que o ativo possa estar em imparidade, ou pelo menos anualmente para ativos intangíveis com vida útil indefinida, ativos intangíveis não disponíveis para uso e goodwill adquirido numa combinação de negócios.
Pergunta,Como é que uma entidade deve reverter uma perda por imparidade?;Resposta,Uma entidade deve reverter uma perda por imparidade se, e apenas se, ocorrer uma alteração nas estimativas utilizadas para determinar a quantia recuperável do ativo, ou da unidade geradora de caixa, desde a última data em que foi reconhecida uma perda por imparidade. A reversão deve ser reconhecida no resultado líquido do período, exceto para o goodwill, que não pode ser revertido. A reversão não deve aumentar a quantia escriturada do ativo acima da quantia que seria determinada se nenhuma perda por imparidade tivesse sido reconhecida anteriormente.
Pergunta,O que é a Norma Contabilística e de Relato Financeiro 12 (NCRF 12)?;Resposta,A NCRF 12 é uma norma que prescreve os procedimentos que uma entidade deve aplicar para assegurar que os seus ativos sejam escriturados por não mais do que a sua quantia recuperável1.
Pergunta,O que é a quantia recuperável de um ativo segundo a NCRF 12?;Resposta,A quantia recuperável de um ativo é a quantia mais alta entre o seu valor de uso e o seu justo valor menos os custos de alienação2.
Pergunta,Quando é que uma entidade deve reverter uma perda por imparidade de acordo com a NCRF 12?;Resposta,Uma entidade deve reverter uma perda por imparidade quando há indicadores de que a perda por imparidade reconhecida em períodos anteriores para um ativo não mais existe ou diminuiu.
Pergunta,A NCRF 12 aplica-se a todos os ativos?;Resposta,A NCRF 12 aplica-se a todos os ativos, exceto aqueles que são abrangidos por outras normas específicas.
Pergunta,O que acontece se o valor contabilístico de um ativo exceder a sua quantia recuperável?;Resposta,Se o valor contabilístico de um ativo exceder a sua quantia recuperável, o ativo está descrito como estando em imparidade e a entidade deve reduzir o valor contabilístico do ativo para a sua quantia recuperável. Essa redução é uma perda por imparidade.
Pergunta,Como a NCRF 12 define o valor de uso de um ativo?;Resposta,O valor de uso de um ativo é o valor presente dos fluxos de caixa futuros que a entidade espera obter como resultado do uso do ativo e da sua alienação final1.
Pergunta,Quais são os indicadores externos de imparidade de um ativo segundo a NCRF 12?;Resposta,Os indicadores externos de imparidade podem incluir uma diminuição significativa no valor de mercado do ativo, mudanças significativas no ambiente tecnológico, de mercado ou económico no qual a entidade opera, ou taxas de juros ou taxas de retorno sobre investimentos que aumentaram durante o período.
Pergunta,Como a NCRF 12 trata a reversão de uma perda por imparidade?;Resposta,A NCRF 12 exige que uma entidade reverta uma perda por imparidade se houver indicadores de que a perda por imparidade reconhecida em períodos anteriores para um ativo não mais existe ou diminuiu.
Pergunta,Como a NCRF 12 define o justo valor menos os custos de alienação?;Resposta,O justo valor menos os custos de alienação é o valor que seria recebido pela venda de um ativo em uma transação entre participantes do mercado na data de mensuração, menos os custos de alienação2.
Pergunta,Quais são os principais procedimentos que a NCRF 12 prescreve para testar a imparidade de ativos?;Resposta,A NCRF 12 prescreve que uma entidade deve avaliar no final de cada período de reporte se há qualquer indicação de que um ativo possa estar em imparidade. Se houver tal indicação, a entidade deve estimar a quantia recuperável do ativo.
Pergunta,O que é a NCRF 13?;Resposta,A NCRF 13 é uma norma contabilístico que trata dos interesses em empreendimentos conjuntos e investimentos em associadas.
Pergunta,Qual é o objetivo da NCRF 13?;Resposta,O objetivo da NCRF 13 é fornecer diretrizes sobre como contabilizar e relatar investimentos em entidades sobre as quais o investidor exerce controlo conjunto, influência significativa ou apenas possui participação.
Pergunta,Quando um empreendedor deixa de ter controlo conjunto sobre uma entidade, que norma contabilístico ele deve seguir?;Resposta,Quando um empreendedor deixa de ter controlo conjunto sobre uma entidade, ele deve ajustar o interesse retido de acordo com as regras estabelecidas na NCRF 27 - Instrumentos Financeiros.
Pergunta,O que deve ser considerado como justo valor do investimento retido quando uma entidade deixa de ser conjuntamente controlada?;Resposta,O justo valor do investimento retido deve ser considerado como o seu justo valor no reconhecimento inicial de um ativo financeiro, de acordo com a NCRF 27.
Pergunta,Como os operadores de um empreendimento conjunto devem contabilizar suas remunerações?;Resposta,Os operadores de um empreendimento conjunto devem contabilizar suas remunerações de acordo com a NCRF 20 - Rédito.
Pergunta,Qual é o método contabilístico recomendado pela NCRF 13 para contabilizar investimentos em associadas?;Resposta,O método recomendado é o método da equivalência patrimonial, a menos que certas condições excepcionais se apliquem.
